workclass,education,educational-num,marital-status,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income,age_group,occupation_group
2,11,9,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,15,10,4,4,2,0,0,0,35,38,0,agegroup2,occupationgroup1
2,15,10,4,3,2,1,0,0,39,38,0,agegroup1,occupationgroup3
4,6,5,6,1,4,0,0,0,40,38,0,agegroup2,occupationgroup2
1,11,9,6,4,4,0,0,0,28,38,0,agegroup2,occupationgroup1
2,0,6,5,1,4,0,0,0,40,38,0,agegroup2,occupationgroup2
1,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup3
2,11,9,4,3,4,1,3,0,40,38,0,agegroup1,occupationgroup3
2,15,10,4,3,2,1,0,0,16,38,0,agegroup1,occupationgroup2
2,11,9,4,1,4,0,0,0,28,38,0,agegroup1,occupationgroup2
2,11,9,4,3,4,0,0,0,48,38,0,agegroup1,occupationgroup2
2,15,10,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup1
2,8,11,2,0,4,1,0,0,40,38,1,agegroup1,occupationgroup1
2,15,10,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup2
2,11,9,4,4,4,1,0,0,40,38,0,agegroup1,occupationgroup2
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,1,7,4,1,4,0,0,0,24,38,0,agegroup1,occupationgroup2
2,11,9,3,4,4,0,0,0,40,38,0,agegroup2,occupationgroup1
2,9,13,0,4,4,0,0,0,40,38,1,agegroup2,occupationgroup3
1,9,13,0,4,4,0,0,0,60,38,0,agegroup2,occupationgroup2
2,15,10,4,3,4,0,0,0,25,38,0,agegroup1,occupationgroup3
2,15,10,4,3,4,1,0,0,30,38,0,agegroup1,occupationgroup3
2,15,10,0,1,4,0,0,0,40,38,0,agegroup2,occupationgroup3
2,11,9,0,4,4,0,0,0,40,38,0,agegroup2,occupationgroup2
2,11,9,0,1,4,0,0,0,25,38,0,agegroup3,occupationgroup1
0,10,16,2,5,4,0,0,0,40,38,1,agegroup2,occupationgroup2
2,11,9,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup2
4,11,9,2,0,4,1,0,0,60,20,1,agegroup1,occupationgroup1
2,12,14,2,0,4,1,0,2,50,38,1,agegroup2,occupationgroup2
2,15,10,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,11,9,4,4,2,0,0,0,40,38,0,agegroup1,occupationgroup1
3,10,16,2,0,4,1,0,0,41,38,1,agegroup2,occupationgroup2
2,11,9,2,0,2,1,0,0,48,38,0,agegroup2,occupationgroup1
2,7,12,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup2
2,11,9,2,0,4,1,0,0,60,38,1,agegroup2,occupationgroup3
2,5,4,2,0,2,1,0,0,40,38,0,agegroup2,occupationgroup2
2,11,9,2,5,4,0,0,0,35,38,0,agegroup2,occupationgroup2
2,0,6,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup1
2,12,14,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup2
2,15,10,4,3,1,0,0,0,22,10,0,agegroup1,occupationgroup1
2,11,9,2,0,4,1,8,0,55,38,1,agegroup2,occupationgroup1
3,11,9,2,0,4,1,0,2,45,38,1,agegroup2,occupationgroup1
2,12,14,4,3,4,0,0,0,30,38,0,agegroup2,occupationgroup2
4,11,9,6,1,4,0,0,0,30,38,0,agegroup2,occupationgroup1
2,8,11,6,4,4,0,0,0,30,38,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup3
2,9,13,2,0,4,1,15,0,50,38,1,agegroup2,occupationgroup1
2,11,9,4,1,4,1,3,0,30,38,0,agegroup1,occupationgroup3
2,15,10,4,1,2,1,0,0,14,38,0,agegroup1,occupationgroup2
2,1,7,2,5,2,0,0,0,32,38,0,agegroup1,occupationgroup2
2,5,4,2,0,4,1,0,0,20,38,0,agegroup2,occupationgroup2
2,1,7,4,4,4,1,0,0,40,38,0,agegroup1,occupationgroup1
5,9,13,2,0,4,1,0,2,45,38,1,agegroup2,occupationgroup1
2,15,10,4,3,4,0,0,0,40,38,0,agegroup1,occupationgroup1
1,11,9,4,1,4,1,0,0,40,38,0,agegroup1,occupationgroup1
2,9,13,4,1,4,1,0,0,25,38,0,agegroup1,occupationgroup3
2,15,10,4,4,2,0,0,1,40,38,0,agegroup2,occupationgroup2
3,9,13,0,1,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,1,7,2,0,4,1,0,0,30,38,0,agegroup2,occupationgroup2
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup3
2,11,9,2,0,4,1,0,0,45,38,0,agegroup1,occupationgroup1
2,9,13,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup3
5,12,14,2,0,4,1,0,0,45,38,1,agegroup2,occupationgroup1
2,15,10,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup1
4,10,16,2,0,4,1,0,0,16,38,1,agegroup2,occupationgroup2
2,11,9,2,0,4,1,0,0,45,38,0,agegroup2,occupationgroup1
2,11,9,4,4,4,1,0,0,25,38,0,agegroup1,occupationgroup2
1,11,9,0,1,4,1,0,0,33,38,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,2,40,38,1,agegroup2,occupationgroup2
2,12,14,4,1,4,1,0,0,40,38,0,agegroup2,occupationgroup2
2,9,13,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,2,8,2,0,4,1,0,0,60,38,0,agegroup3,occupationgroup1
1,12,14,5,4,2,0,0,0,40,38,0,agegroup2,occupationgroup1
2,15,10,2,0,4,1,0,0,45,38,1,agegroup2,occupationgroup1
2,8,11,2,0,4,1,0,0,45,38,0,agegroup1,occupationgroup2
2,15,10,2,0,4,1,0,0,37,38,0,agegroup2,occupationgroup2
3,11,9,2,0,4,1,0,0,50,38,1,agegroup2,occupationgroup3
2,15,10,2,0,4,1,0,2,40,38,1,agegroup2,occupationgroup2
2,12,14,4,3,4,1,5,0,40,38,0,agegroup2,occupationgroup1
3,15,10,2,0,4,1,15,0,40,38,1,agegroup2,occupationgroup1
2,9,13,6,1,4,0,0,0,55,38,0,agegroup2,occupationgroup1
2,11,9,0,4,2,0,0,0,40,38,0,agegroup2,occupationgroup3
2,11,9,0,1,4,1,0,0,45,38,0,agegroup2,occupationgroup2
2,11,9,4,1,4,1,0,0,50,38,0,agegroup1,occupationgroup2
2,11,9,4,1,4,0,0,0,45,38,0,agegroup1,occupationgroup2
2,9,13,2,0,4,1,0,2,40,38,1,agegroup2,occupationgroup1
2,9,13,5,1,4,1,0,0,50,38,1,agegroup2,occupationgroup2
2,15,10,0,1,2,0,0,0,37,38,0,agegroup2,occupationgroup1
2,11,9,4,4,2,0,0,0,55,38,0,agegroup1,occupationgroup2
2,15,10,0,4,4,0,0,0,40,38,0,agegroup2,occupationgroup1
2,15,10,4,1,4,1,0,0,45,38,0,agegroup2,occupationgroup3
3,14,15,2,5,4,0,0,0,50,38,1,agegroup2,occupationgroup2
2,11,9,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup2
2,11,9,2,0,4,1,0,0,40,38,1,agegroup1,occupationgroup2
1,15,10,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup3
3,9,13,2,0,4,1,0,0,50,38,0,agegroup1,occupationgroup1
2,9,13,0,1,4,1,0,0,45,38,0,agegroup2,occupationgroup1
1,9,13,0,4,4,0,0,0,40,38,0,agegroup2,occupationgroup2
2,8,11,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup2
3,9,13,2,0,4,1,0,0,54,38,0,agegroup2,occupationgroup3
2,5,4,2,0,2,1,0,0,40,38,0,agegroup2,occupationgroup1
1,11,9,2,0,4,1,0,0,20,38,0,agegroup3,occupationgroup1
2,9,13,2,5,4,0,0,0,50,38,1,agegroup2,occupationgroup2
2,15,10,2,0,4,1,0,0,55,38,1,agegroup2,occupationgroup3
2,1,7,4,1,4,1,0,0,12,38,0,agegroup1,occupationgroup3
2,15,10,4,3,4,0,0,0,50,38,0,agegroup1,occupationgroup2
0,8,11,0,4,4,0,6,0,40,38,0,agegroup2,occupationgroup1
2,9,13,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup3
2,9,13,4,3,2,0,0,0,32,38,0,agegroup1,occupationgroup3
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup2
0,11,9,4,1,4,1,0,0,32,38,0,agegroup2,occupationgroup2
2,4,3,4,2,4,1,0,0,38,25,0,agegroup1,occupationgroup2
2,8,11,5,1,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,9,13,4,1,4,0,0,0,45,38,0,agegroup1,occupationgroup1
2,9,13,2,0,1,1,0,0,40,29,0,agegroup2,occupationgroup1
2,11,9,4,1,1,0,0,0,40,29,0,agegroup1,occupationgroup2
2,11,9,4,4,4,1,0,0,40,38,0,agegroup2,occupationgroup1
3,11,9,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup3
1,6,5,2,0,4,1,8,0,40,38,1,agegroup3,occupationgroup3
2,15,10,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,9,13,2,0,4,1,15,0,38,38,1,agegroup2,occupationgroup2
1,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,2,8,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup2
2,14,15,2,0,4,1,0,0,50,38,0,agegroup2,occupationgroup2
2,12,14,4,4,1,0,0,0,50,36,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup3
4,11,9,2,0,4,1,0,0,30,38,0,agegroup3,occupationgroup2
2,8,11,0,4,4,0,0,0,60,38,0,agegroup2,occupationgroup3
2,15,10,2,0,4,1,5,0,40,38,0,agegroup2,occupationgroup3
2,11,9,4,4,2,0,0,0,28,13,0,agegroup2,occupationgroup2
2,15,10,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup3
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup3
1,11,9,4,3,4,0,0,0,35,38,0,agegroup1,occupationgroup2
4,11,9,2,0,4,1,0,2,60,38,0,agegroup2,occupationgroup1
2,15,10,4,3,4,0,0,0,12,38,0,agegroup1,occupationgroup2
4,15,10,2,0,4,1,0,0,32,38,0,agegroup3,occupationgroup3
0,15,10,4,3,4,0,0,0,20,38,0,agegroup1,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup2
2,11,9,2,3,4,0,0,0,40,38,0,agegroup1,occupationgroup3
2,11,9,2,0,4,1,0,0,70,38,1,agegroup2,occupationgroup3
5,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup2
2,15,10,4,3,4,1,0,0,15,38,0,agegroup1,occupationgroup3
2,8,11,4,1,4,1,0,0,50,38,0,agegroup2,occupationgroup1
2,9,13,2,0,4,1,0,0,40,38,1,agegroup1,occupationgroup2
2,9,13,4,3,4,1,0,0,50,38,0,agegroup1,occupationgroup3
2,15,10,4,2,4,1,0,0,35,38,0,agegroup1,occupationgroup2
0,15,10,0,1,2,1,5,0,40,38,0,agegroup3,occupationgroup3
2,11,9,4,1,2,0,0,0,40,38,0,agegroup2,occupationgroup2
5,11,9,4,1,4,1,0,0,40,38,0,agegroup1,occupationgroup2
4,14,15,4,1,4,1,0,1,20,38,0,agegroup3,occupationgroup2
2,15,10,2,5,4,0,0,0,50,38,0,agegroup2,occupationgroup1
1,12,14,4,1,4,1,0,0,40,38,0,agegroup1,occupationgroup2
2,15,10,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup2
2,9,13,4,3,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,12,14,4,1,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,15,10,2,0,4,1,3,0,40,38,1,agegroup1,occupationgroup2
2,0,6,2,0,4,1,0,0,25,38,0,agegroup1,occupationgroup1
2,1,7,2,5,4,0,0,0,20,38,0,agegroup2,occupationgroup3
2,11,9,2,0,4,1,0,0,75,38,0,agegroup1,occupationgroup1
2,0,6,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup3
2,15,10,2,5,4,0,0,0,40,38,1,agegroup3,occupationgroup1
5,12,14,4,1,4,1,0,0,38,38,0,agegroup2,occupationgroup1
2,11,9,4,3,0,0,0,0,35,38,0,agegroup1,occupationgroup2
2,11,9,0,1,2,1,0,0,52,38,0,agegroup2,occupationgroup2
2,1,7,4,3,4,1,0,0,24,38,0,agegroup1,occupationgroup2
3,9,13,2,0,4,1,15,0,50,38,1,agegroup2,occupationgroup1
2,15,10,4,1,2,1,0,0,60,38,0,agegroup1,occupationgroup3
0,11,9,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,38,38,1,agegroup2,occupationgroup2
2,11,9,4,1,4,0,0,0,25,38,0,agegroup1,occupationgroup2
2,15,10,0,4,4,0,0,0,40,38,0,agegroup2,occupationgroup3
2,9,13,2,0,2,1,0,0,55,38,0,agegroup2,occupationgroup3
2,15,10,4,1,4,0,0,0,48,38,0,agegroup2,occupationgroup2
2,11,9,4,3,2,1,0,0,40,38,0,agegroup1,occupationgroup2
2,15,10,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup3
0,15,10,2,0,2,1,0,0,40,38,0,agegroup3,occupationgroup3
2,11,9,4,1,2,1,0,0,40,38,0,agegroup1,occupationgroup1
2,11,9,2,0,4,1,0,0,55,38,1,agegroup2,occupationgroup1
2,0,6,2,0,4,1,0,0,40,38,0,agegroup3,occupationgroup2
2,15,10,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup3
2,0,6,0,4,4,0,0,0,40,38,0,agegroup2,occupationgroup1
2,15,10,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup2
2,11,9,4,4,4,1,0,2,40,38,0,agegroup1,occupationgroup2
2,6,5,2,0,4,1,0,0,32,7,1,agegroup1,occupationgroup2
2,11,9,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup3
4,8,11,4,1,4,1,28,0,60,38,1,agegroup2,occupationgroup1
2,11,9,2,2,4,1,0,2,48,38,0,agegroup1,occupationgroup2
2,15,10,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup1
2,1,7,4,2,4,1,0,2,38,32,0,agegroup1,occupationgroup2
1,15,10,0,4,4,0,0,0,38,38,0,agegroup2,occupationgroup1
2,11,9,0,3,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,15,10,4,3,4,1,0,0,16,38,0,agegroup1,occupationgroup2
2,11,9,2,3,4,0,0,0,40,38,0,agegroup2,occupationgroup1
2,9,13,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup1
3,9,13,2,0,4,1,0,0,60,38,1,agegroup2,occupationgroup1
4,11,9,2,0,1,1,3,0,84,39,0,agegroup2,occupationgroup3
1,7,12,2,0,4,1,0,0,45,38,1,agegroup2,occupationgroup3
2,15,10,4,3,4,1,0,0,40,38,0,agegroup1,occupationgroup2
4,15,10,2,0,4,1,0,0,60,38,0,agegroup2,occupationgroup1
2,9,13,0,4,4,0,5,0,45,38,1,agegroup2,occupationgroup1
2,11,9,2,5,4,0,4,0,35,38,0,agegroup2,occupationgroup1
2,15,10,0,1,4,1,0,0,42,38,1,agegroup2,occupationgroup1
2,15,10,4,1,4,0,0,0,25,38,0,agegroup1,occupationgroup3
2,9,13,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup1
2,11,9,2,0,2,1,0,0,40,38,1,agegroup3,occupationgroup2
2,15,10,0,1,4,1,0,0,40,38,0,agegroup1,occupationgroup3
3,9,13,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,3,2,2,0,4,1,0,0,40,25,0,agegroup2,occupationgroup2
2,11,9,5,3,4,1,0,0,40,32,0,agegroup1,occupationgroup2
2,12,14,2,0,4,1,0,0,50,38,0,agegroup2,occupationgroup2
1,12,14,0,4,4,0,0,0,42,38,0,agegroup2,occupationgroup2
2,1,7,4,3,4,1,0,0,15,38,0,agegroup1,occupationgroup2
4,15,10,2,0,4,1,0,0,60,38,1,agegroup2,occupationgroup1
2,11,9,4,3,4,1,0,0,20,38,0,agegroup1,occupationgroup2
2,11,9,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup1
2,11,9,0,4,4,0,4,0,42,38,0,agegroup2,occupationgroup1
2,12,14,2,0,4,1,0,2,50,38,1,agegroup2,occupationgroup1
2,11,9,4,4,4,0,0,0,40,38,0,agegroup1,occupationgroup3
2,6,5,0,4,4,0,0,0,55,5,0,agegroup2,occupationgroup2
2,0,6,6,4,4,0,0,0,40,38,0,agegroup2,occupationgroup2
3,11,9,2,0,4,1,0,0,80,38,0,agegroup2,occupationgroup1
2,9,13,0,4,4,0,0,0,48,38,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,1,agegroup1,occupationgroup3
2,9,13,4,1,4,1,2,0,40,38,0,agegroup2,occupationgroup1
2,4,3,2,0,4,1,0,0,40,25,0,agegroup2,occupationgroup2
2,12,14,2,0,4,1,0,0,45,38,1,agegroup2,occupationgroup2
2,11,9,2,0,4,1,11,0,40,38,1,agegroup3,occupationgroup1
2,9,13,4,1,4,0,0,0,50,38,1,agegroup1,occupationgroup2
2,11,9,0,4,2,0,100,0,40,38,1,agegroup2,occupationgroup1
2,5,4,2,0,4,1,5,0,50,38,1,agegroup2,occupationgroup1
2,11,9,4,3,4,0,0,0,40,38,0,agegroup1,occupationgroup2
2,8,11,0,4,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,11,9,4,3,4,1,0,0,30,38,0,agegroup1,occupationgroup2
1,11,9,0,4,4,0,0,0,40,38,0,agegroup2,occupationgroup1
2,15,10,2,5,4,0,0,0,12,38,1,agegroup2,occupationgroup2
2,11,9,2,0,4,1,0,0,84,38,1,agegroup2,occupationgroup3
2,9,13,2,0,2,1,0,0,50,38,1,agegroup2,occupationgroup2
2,9,13,4,1,4,1,0,0,45,38,0,agegroup2,occupationgroup3
4,14,15,2,0,4,1,100,0,80,38,1,agegroup2,occupationgroup2
0,7,12,4,1,2,1,0,0,40,38,0,agegroup2,occupationgroup3
2,9,13,4,3,2,0,0,0,40,38,0,agegroup2,occupationgroup1
2,1,7,2,0,4,1,0,0,40,38,0,agegroup2,occupationgroup1
2,15,10,0,1,4,1,0,0,60,38,0,agegroup2,occupationgroup1
2,15,10,0,2,4,1,0,0,25,38,0,agegroup2,occupationgroup2
1,15,10,2,3,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,11,9,2,0,4,1,0,0,50,38,1,agegroup2,occupationgroup1
3,14,15,2,0,4,1,0,0,25,38,1,agegroup2,occupationgroup2
2,15,10,2,0,4,1,0,0,70,38,0,agegroup2,occupationgroup3
4,15,10,2,0,4,1,0,0,60,38,1,agegroup2,occupationgroup3
4,12,14,2,5,4,0,0,0,8,38,0,agegroup2,occupationgroup2
2,0,6,0,4,4,0,0,0,40,10,0,agegroup1,occupationgroup2
2,15,10,2,0,4,1,0,0,68,38,0,agegroup1,occupationgroup3
2,5,4,5,1,4,1,0,0,40,25,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,0,agegroup1,occupationgroup1
4,9,13,2,0,4,1,0,0,44,38,0,agegroup2,occupationgroup3
4,11,9,4,3,4,1,0,0,45,38,0,agegroup2,occupationgroup1
2,11,9,2,0,4,1,0,0,40,38,1,agegroup2,occupationgroup1
2,9,13,2,5,1,0,0,1,40,38,0,agegroup1,occupationgroup2
2,11,9,4,3,1,0,0,0,40,34,0,agegroup1,occupationgroup1
2,11,9,4,2,4,1,0,0,15,38,0,agegroup1,occupationgroup1
4,11,9,2,0,2,1,0,0,40,38,1,agegroup2,occupationgroup1
2,9,13,0,1,4,0,0,0,40,38,0,agegroup1,occupationgroup3
4,10,16,1,5,4,0,0,1,35,38,1,agegroup2,occupationgroup1
2,11,9,6,4,2,0,0,0,35,38,0,agegroup2,occupationgroup1
2,1,7,2,0,4,1,0,0,99,38,1,agegroup1,occupationgroup3
2,1,7,2,0,4,1,0,0,35,3,0,agegroup2,occupationgroup2
2,11,9,0,4,2,0,0,0,37,38,0,agegroup2,occupationgroup1
2,1,7,6,4,4,0,0,0,40,38,0,agegroup2,occupationgroup1
4,11,9,2,5,4,0,0,0,40,38,0,agegroup3,occupationgroup1
2,11,9,2,0,4,1,0,2,55,38,1,agegroup2,occupationgroup1
2,9,13,0,2,4,0,0,0,50,38,1,agegroup2,occupationgroup2
2,11,9,4,3,2,1,0,0,40,38,0,agegroup2,occupationgroup3
1,12,14,4,1,4,0,0,0,50,38,0,agegroup2,occupationgroup2
2,11,9,4,4,4,0,0,0,40,38,0,agegroup1,occupationgroup1
2,11,9,5,3,1,1,0,0,60,38,0,agegroup2,occupationgroup2
